id,gender,age,year,school,mar,mobile_bundle,income,job,region,phone_usage_per_m,telecom
1530001,1,60,2017,5,2,1,10,1,1,64,2
1530002,2,60,2017,4,2,1,1,2,1,56,2
1540002,2,58,2017,4,2,1,1,2,1,58,2
1540003,1,31,2017,4,1,1,5,1,1,90,3
1550001,2,35,2017,5,1,1,8,1,1,50,2
1560001,2,61,2017,5,3,1,1,2,1,48,3
1560002,1,36,2017,6,1,1,8,1,1,67,2
1570001,2,48,2017,4,1,1,7,1,1,63,3
1580001,2,59,2017,4,4,1,5,1,1,68,2
1590001,1,58,2017,5,2,1,12,1,1,39,2
1590002,2,55,2017,5,2,1,1,2,1,39,3
1600001,2,34,2017,4,1,1,8,1,1,40,3
1610001,1,61,2017,5,2,1,12,1,1,52,3
1610002,2,57,2017,4,2,1,1,2,1,67,2
1620001,2,37,2017,4,1,1,7,1,1,43,3
1630001,1,51,2017,5,2,1,10,1,1,55,3
1630002,2,51,2017,5,2,1,8,1,1,52,2
1640001,1,52,2017,5,2,1,12,1,1,79,1
1640002,2,49,2017,5,2,1,1,2,1,62,1
1650001,1,43,2017,5,2,1,14,1,1,65,3
1650002,2,42,2017,5,2,1,1,2,1,49,3
1660001,1,51,2017,5,2,1,14,1,1,75,2
1660002,2,42,2017,5,2,1,10,1,1,50,3
1670001,1,42,2017,5,2,1,11,1,1,69,1
1670002,2,37,2017,5,2,1,1,2,1,62,1
1680002,2,48,2017,4,2,1,1,2,1,48,3
1680003,1,22,2017,5,1,1,4,2,1,43,2
1690001,1,44,2017,5,2,1,13,1,1,58,1
1690002,2,42,2017,5,2,1,8,1,1,60,1
1700001,1,42,2017,5,2,1,11,1,1,73,3
1700002,2,37,2017,5,2,1,6,1,1,52,2
1710001,1,51,2017,5,2,1,10,1,1,69,2
1710002,2,49,2017,5,2,1,10,1,1,52,3
1720001,1,48,2017,5,2,1,11,1,1,63,3
1720002,2,44,2017,5,2,1,1,2,1,55,3
1730001,1,42,2017,5,2,1,11,1,1,70,2
1730002,2,41,2017,5,2,1,4,1,1,58,3
1740001,1,54,2017,5,2,1,7,1,8,60,3
1740002,2,52,2017,5,2,1,5,1,8,40,3
1750001,1,49,2017,6,2,1,6,1,8,45,1
1750002,2,49,2017,6,2,1,9,1,8,35,2
1760001,1,51,2017,5,2,1,18,1,8,55,2
1760002,2,45,2017,5,2,1,1,2,8,29,2
1760003,2,20,2017,5,1,1,1,2,8,56,2
1770001,1,48,2017,5,2,2,15,1,8,35,1
1770002,2,48,2017,5,2,2,1,2,8,65,1
1770003,2,20,2017,5,1,2,1,2,8,65,1
1780001,1,40,2017,6,2,1,12,1,8,70,1
1780002,2,37,2017,5,2,1,1,2,8,69,1
1790001,1,52,2017,6,2,2,6,1,8,35,1
1790002,2,49,2017,5,2,1,1,2,8,50,3
1800001,1,50,2017,5,2,1,9,1,8,60,3
1800002,2,47,2017,4,2,1,2,2,8,66,3
1800004,2,18,2017,4,1,1,1,2,8,35,1
1810001,1,77,2017,5,2,2,8,2,8,35,3
1820001,1,48,2017,5,2,2,10,1,8,58,1
1820002,2,42,2017,6,2,1,4,1,8,20,1
1830001,1,49,2017,6,2,2,8,1,8,63,1
1840001,1,49,2017,4,2,1,10,1,8,40,1
1840002,2,48,2017,4,2,1,1,2,8,45,1
1850001,1,48,2017,5,2,2,8,1,8,33,1
1850002,2,43,2017,5,2,2,4,1,8,30,1
1850004,2,20,2017,5,1,2,3,2,8,10,1
1860001,1,48,2017,5,2,2,8,1,8,60,1
1870001,1,43,2017,5,2,2,18,1,8,52,1
1870002,2,42,2017,5,2,2,1,1,8,45,1
1870003,2,15,2017,3,1,2,1,2,8,32,1
1880001,1,54,2017,5,2,2,8,1,8,23,1
1880002,2,50,2017,5,2,2,8,1,8,23,1
1880003,2,22,2017,5,1,2,3,2,8,50,1
1900001,1,39,2017,5,2,1,5,1,8,72,1
1900002,2,40,2017,5,2,1,5,1,8,73,1
1960001,1,79,2017,4,2,2,4,1,1,27,2
1960002,2,72,2017,4,2,2,1,2,1,27,2
1980001,1,48,2017,4,1,2,5,1,1,110,1
1990001,1,52,2017,5,2,1,7,1,1,49,1
1990002,2,50,2017,5,2,1,6,1,1,52,1
1990003,1,22,2017,5,1,1,1,2,1,33,1
1990004,1,17,2017,4,1,1,1,2,1,40,1
2000002,2,59,2017,4,2,1,5,1,1,42,2
2000005,1,19,2017,5,1,1,1,2,1,48,2
2010001,2,65,2017,4,3,2,6,1,8,41,1
2010002,1,37,2017,5,1,2,6,1,8,75,1
2030001,1,36,2017,4,2,2,7,1,1,53,2
2030002,2,37,2017,5,2,2,7,1,1,58,3
2040001,2,55,2017,4,4,2,6,1,8,72,1
2050001,1,47,2017,5,1,2,9,1,1,65,2
2070001,1,53,2017,5,2,1,10,1,1,38,3
2070002,2,51,2017,5,2,1,6,1,1,48,3
2070003,1,17,2017,4,1,1,1,2,1,35,3
2080001,1,57,2017,4,2,1,10,1,1,48,3
2080002,2,54,2017,4,2,1,1,1,1,38,3
2080003,2,27,2017,5,1,1,6,1,1,59,3
2080004,2,23,2017,5,1,1,1,2,1,70,3
2100001,1,79,2017,2,2,2,4,2,1,32,1
2110001,1,69,2017,4,2,2,1,2,1,35,1
2110002,2,64,2017,4,2,2,1,2,1,38,3
2110003,1,38,2017,5,1,2,5,1,1,60,3
2150002,2,61,2017,4,2,1,1,2,1,30,1
